density,temperature,type,x,y
1.0,2000,rdf,0.04,0.0
1.0,2000,rdf,0.12,0.0
1.0,2000,rdf,0.2,0.0
1.0,2000,rdf,0.27999999999999997,0.0
1.0,2000,rdf,0.36,0.0
1.0,2000,rdf,0.44,0.0
1.0,2000,rdf,0.52,0.0
1.0,2000,rdf,0.6000000000000001,0.0
1.0,2000,rdf,0.68,0.0
1.0,2000,rdf,0.76,0.0
1.0,2000,rdf,0.8400000000000001,0.0
1.0,2000,rdf,0.92,0.0
1.0,2000,rdf,1.0,0.0
1.0,2000,rdf,1.08,0.0
1.0,2000,rdf,1.1600000000000001,0.0
1.0,2000,rdf,1.24,2.061848424771453
1.0,2000,rdf,1.32,3.525426418456759
1.0,2000,rdf,1.4000000000000001,10.514529535028757
1.0,2000,rdf,1.48,8.323182187922335
1.0,2000,rdf,1.56,2.7686323556555363
1.0,2000,rdf,1.6400000000000001,0.3684062039701168
1.0,2000,rdf,1.72,0.06698777551641213
1.0,2000,rdf,1.8,0.0
1.0,2000,rdf,1.8800000000000001,0.0
1.0,2000,rdf,1.96,0.0
1.0,2000,rdf,2.04,0.0
1.0,2000,rdf,2.12,0.0
1.0,2000,rdf,2.2,0.36853609597680564
1.0,2000,rdf,2.2800000000000002,1.7537767966754705
1.0,2000,rdf,2.36,3.344975946487464
1.0,2000,rdf,2.44,3.7950458936238056
1.0,2000,rdf,2.52,3.713984989019274
1.0,2000,rdf,2.6,2.550756668914462
1.0,2000,rdf,2.68,1.5729095766415258
1.0,2000,rdf,2.7600000000000002,0.9626843046000426
1.0,2000,rdf,2.8400000000000003,0.909215988290598
1.0,2000,rdf,2.92,0.8833269192814631
1.0,2000,rdf,3.0,0.8368470482028951
1.0,2000,rdf,3.08,0.8984074476218425
1.0,2000,rdf,3.16,0.9130429509716157
1.0,2000,rdf,3.24,0.4908988337071419
1.0,2000,rdf,3.3200000000000003,0.809181731925075
1.0,2000,rdf,3.4,0.617241854047885
1.0,2000,rdf,3.48,1.2111134936504337
1.0,2000,rdf,3.56,1.6421081783088138
1.0,2000,rdf,3.64,2.2738094969364084
1.0,2000,rdf,3.72,2.320294624924419
1.0,2000,rdf,3.8000000000000003,1.7294899726398594
1.0,2000,rdf,3.88,1.1586027955832785
1.0,2000,rdf,3.96,1.0490681138926548
1.0,2000,rdf,4.04,0.9350708975790468
1.0,2000,rdf,4.12,1.0859394434633032
1.0,2000,rdf,4.2,0.9775484198560823
1.0,2000,rdf,4.28,0.8872467288440187
1.0,2000,rdf,4.36,1.1469335552170392
1.0,2000,rdf,4.44,1.2869539783661599
1.0,2000,rdf,4.5200000000000005,1.1932945067218788
1.0,2000,rdf,4.6000000000000005,1.0772139463398815
1.0,2000,rdf,4.68,1.131197582561407
1.0,2000,rdf,4.76,1.110990459414412
1.0,2000,rdf,4.84,1.3284027874217628
1.0,2000,rdf,4.92,1.2937431086031228
1.0,2000,rdf,5.0,1.3240303315206923
1.0,2000,rdf,5.08,1.2903383896612608
1.0,2000,rdf,5.16,0.8858691861477737
1.0,2000,rdf,5.24,0.9817448583025283
1.0,2000,rdf,5.32,0.9244282726047172
1.0,2000,rdf,5.4,0.8836466313091115
1.0,2000,rdf,5.48,1.0296426059556107
1.0,2000,rdf,5.5600000000000005,0.8591687241687468
1.0,2000,rdf,5.640000000000001,1.0966749283657973
1.0,2000,rdf,5.72,1.1146779822646156
1.0,2000,rdf,5.8,1.1018170047508615
1.0,2000,rdf,5.88,1.1694981863896936
1.0,2000,rdf,5.96,1.13273347319539
1.0,2000,rdf,6.04,1.2387548200811738
1.0,2000,rdf,6.12,1.1854131115590905
1.0,2000,rdf,6.2,1.0673618536401341
1.0,2000,rdf,6.28,0.9046447793274971
1.0,2000,rdf,6.36,1.1172378133119623
1.0,2000,rdf,6.44,1.0084070479556917
1.0,2000,rdf,6.5200000000000005,0.979150367574916
1.0,2000,rdf,6.6000000000000005,0.9692083602815561
1.0,2000,rdf,6.680000000000001,0.9905524671320807
1.0,2000,rdf,6.76,0.8327861710995104
1.0,2000,rdf,6.84,1.033721166042055
1.0,2000,rdf,6.92,0.9313142087710758
1.0,2000,rdf,7.0,1.1124042089924409
1.0,2000,rdf,7.08,1.0241400843549047
1.0,2000,rdf,7.16,0.9820506570213872
1.0,2000,rdf,7.24,1.0285326662497951
1.0,2000,rdf,7.32,1.0764583744319656
1.0,2000,rdf,7.4,0.9736779776578707
1.0,2000,rdf,7.48,0.9883883194765877
1.0,2000,rdf,7.5600000000000005,0.9814530489148453
1.0,2000,rdf,7.640000000000001,1.005152049041116
1.0,2000,rdf,7.72,1.0276630201578687
1.0,2000,rdf,7.8,0.8959224473630757
1.0,2000,rdf,7.88,0.9320890863108154
1.0,2000,rdf,7.96,0.9728846127548879
1.0,2000,adf,0.9,0.0
1.0,2000,adf,2.6999999999999997,0.0
1.0,2000,adf,4.5,0.0
1.0,2000,adf,6.3,0.0
1.0,2000,adf,8.1,0.0
1.0,2000,adf,9.9,0.0
1.0,2000,adf,11.7,0.0
