density,temperature,type,x,y,source
1.0,2900,coordination,1.0,0.0,GT
1.0,2900,coordination,2.0,0.06,GT
1.0,2900,coordination,3.0,0.94,GT
1.0,3000,rings,4.0,0.0,GT
1.0,3000,rings,5.0,0.23655913978494625,GT
1.0,3000,rings,6.0,0.5376344086021505,GT
1.0,3000,rings,7.0,0.1935483870967742,GT
1.0,3000,rings,8.0,0.010752688172043012,GT
1.0,3000,rings,9.0,0.021505376344086023,GT
1.0,3000,rings,10.0,0.0,GT
1.0,3000,coordination,0.0,0.0,GT
1.0,3000,coordination,1.0,0.0,GT
1.0,3000,coordination,2.0,0.07,GT
1.0,3000,coordination,3.0,0.93,GT
1.0,3100,rings,4.0,0.0,GT
1.0,3100,rings,5.0,0.23958333333333334,GT
1.0,3100,rings,6.0,0.5625,GT
1.0,3100,rings,7.0,0.10416666666666667,GT
1.0,3100,rings,8.0,0.052083333333333336,GT
1.0,3100,rings,9.0,0.03125,GT
1.0,3100,rings,10.0,0.010416666666666666,GT
1.0,3100,coordination,0.0,0.0,GT
1.0,3100,coordination,1.0,0.0,GT
1.0,3100,coordination,2.0,0.025,GT
1.0,3100,coordination,3.0,0.97,GT
1.0,3100,coordination,4.0,0.005,GT
1.0,3200,rings,4.0,0.042105263157894736,GT
1.0,3200,rings,5.0,0.16842105263157894,GT
1.0,3200,rings,6.0,0.6105263157894737,GT
1.0,3200,rings,7.0,0.12631578947368421,GT
1.0,3200,rings,8.0,0.05263157894736842,GT
1.0,3200,rings,9.0,0.0,GT
1.0,3200,rings,10.0,0.0,GT
1.0,3200,coordination,0.0,0.0,GT
1.0,3200,coordination,1.0,0.0,GT
1.0,3200,coordination,2.0,0.045,GT
1.0,3200,coordination,3.0,0.93,GT
1.0,3200,coordination,4.0,0.025,GT
1.0,3300,rings,4.0,0.0,GT
1.0,3300,rings,5.0,0.21739130434782608,GT
1.0,3300,rings,6.0,0.6739130434782609,GT
1.0,3300,rings,7.0,0.06521739130434782,GT
1.0,3300,rings,8.0,0.010869565217391304,GT
1.0,3300,rings,9.0,0.021739130434782608,GT
1.0,3300,rings,10.0,0.010869565217391304,GT
1.0,3300,coordination,0.0,0.0,GT
1.0,3300,coordination,1.0,0.005,GT
1.0,3300,coordination,2.0,0.02,GT
1.0,3300,coordination,3.0,0.975,GT
1.0,3400,rings,4.0,0.0,GT
1.0,3400,rings,5.0,0.17204301075268819,GT
1.0,3400,rings,6.0,0.6774193548387096,GT
1.0,3400,rings,7.0,0.13978494623655913,GT
1.0,3400,rings,8.0,0.010752688172043012,GT
1.0,3400,rings,9.0,0.0,GT
1.0,3400,rings,10.0,0.0,GT
1.0,3400,coordination,0.0,0.0,GT
1.0,3400,coordination,1.0,0.0,GT
1.0,3400,coordination,2.0,0.055,GT
1.0,3400,coordination,3.0,0.94,GT
1.0,3400,coordination,4.0,0.005,GT
1.0,3500,rings,4.0,0.0,GT
1.0,3500,rings,5.0,0.20618556701030927,GT
1.0,3500,rings,6.0,0.5567010309278351,GT
1.0,3500,rings,7.0,0.20618556701030927,GT
1.0,3500,rings,8.0,0.020618556701030927,GT
1.0,3500,rings,9.0,0.010309278350515464,GT
1.0,3500,rings,10.0,0.0,GT
1.0,3500,coordination,0.0,0.0,GT
1.0,3500,coordination,1.0,0.0,GT
1.0,3500,coordination,2.0,0.005,GT
1.0,3500,coordination,3.0,0.99,GT
1.0,3500,coordination,4.0,0.005,GT
1.0,3600,rings,4.0,0.010638297872340425,GT
1.0,3600,rings,5.0,0.22340425531914893,GT
1.0,3600,rings,6.0,0.5106382978723404,GT
1.0,3600,rings,7.0,0.22340425531914893,GT
1.0,3600,rings,8.0,0.010638297872340425,GT
1.0,3600,rings,9.0,0.02127659574468085,GT
1.0,3600,rings,10.0,0.0,GT
1.0,3600,coordination,0.0,0.0,GT
1.0,3600,coordination,1.0,0.0,GT
1.0,3600,coordination,2.0,0.07,GT
1.0,3600,coordination,3.0,0.93,GT
1.0,3700,rings,4.0,0.0,GT
1.0,3700,rings,5.0,0.1595744680851064,GT
1.0,3700,rings,6.0,0.6702127659574468,GT
1.0,3700,rings,7.0,0.13829787234042554,GT
1.0,3700,rings,8.0,0.02127659574468085,GT
1.0,3700,rings,9.0,0.0,GT
1.0,3700,rings,10.0,0.010638297872340425,GT
1.0,3700,coordination,0.0,0.0,GT
1.0,3700,coordination,1.0,0.0,GT
1.0,3700,coordination,2.0,0.07,GT
1.0,3700,coordination,3.0,0.93,GT
1.0,3800,rings,4.0,0.0,GT
1.0,3800,rings,5.0,0.0851063829787234,GT
1.0,3800,rings,6.0,0.8085106382978723,GT
1.0,3800,rings,7.0,0.0851063829787234,GT
1.0,3800,rings,8.0,0.010638297872340425,GT
1.0,3800,rings,9.0,0.0,GT
1.0,3800,rings,10.0,0.010638297872340425,GT
1.0,3800,coordination,0.0,0.0,GT
1.0,3800,coordination,1.0,0.0,GT
1.0,3800,coordination,2.0,0.07,GT
1.0,3800,coordination,3.0,0.93,GT
1.0,3900,rings,4.0,0.0,GT
1.0,3900,rings,5.0,0.1276595744680851,GT
1.0,3900,rings,6.0,0.7553191489361702,GT
1.0,3900,rings,7.0,0.09574468085106383,GT
1.0,3900,rings,8.0,0.010638297872340425,GT
1.0,3900,rings,9.0,0.010638297872340425,GT
1.0,3900,rings,10.0,0.0,GT
1.0,3900,coordination,0.0,0.0,GT
1.0,3900,coordination,1.0,0.0,GT
1.0,3900,coordination,2.0,0.06,GT
1.0,3900,coordination,3.0,0.94,GT
1.0,4000,rings,4.0,0.0,GT
1.0,4000,rings,5.0,0.17708333333333334,GT
1.0,4000,rings,6.0,0.6354166666666666,GT
1.0,4000,rings,7.0,0.15625,GT
1.0,4000,rings,8.0,0.020833333333333332,GT
1.0,4000,rings,9.0,0.010416666666666666,GT
1.0,4000,rings,10.0,0.0,GT
1.0,4000,coordination,0.0,0.0,GT
1.0,4000,coordination,1.0,0.0,GT
1.0,4000,coordination,2.0,0.05,GT
1.0,4000,coordination,3.0,0.95,GT
1.1,2000,rings,4.0,0.0,GT
1.1,2000,rings,5.0,0.3977272727272727,GT
1.1,2000,rings,6.0,0.3409090909090909,GT
1.1,2000,rings,7.0,0.09090909090909091,GT
1.1,2000,rings,8.0,0.07954545454545454,GT
1.1,2000,rings,9.0,0.07954545454545454,GT
1.1,2000,rings,10.0,0.011363636363636364,GT
1.1,2000,coordination,0.0,0.0,GT
1.1,2000,coordination,1.0,0.0,GT
1.1,2000,coordination,2.0,0.08,GT
1.1,2000,coordination,3.0,0.9,GT
1.1,2000,coordination,4.0,0.02,GT
1.1,2100,rings,4.0,0.0,GT
1.1,2100,rings,5.0,0.36470588235294116,GT
1.1,2100,rings,6.0,0.29411764705882354,GT
1.1,2100,rings,7.0,0.16470588235294117,GT
1.1,2100,rings,8.0,0.047058823529411764,GT
1.1,2100,rings,9.0,0.07058823529411765,GT
1.1,2100,rings,10.0,0.058823529411764705,GT
1.1,2100,coordination,0.0,0.0,GT
1.1,2100,coordination,1.0,0.0,GT
1.1,2100,coordination,2.0,0.095,GT
1.1,2100,coordination,3.0,0.9,GT
1.1,2100,coordination,4.0,0.005,GT
1.1,2200,rings,4.0,0.011235955056179775,GT
1.1,2200,rings,5.0,0.2808988764044944,GT
1.1,2200,rings,6.0,0.4157303370786517,GT
1.1,2200,rings,7.0,0.15730337078651685,GT
1.1,2200,rings,8.0,0.07865168539325842,GT
1.1,2200,rings,9.0,0.0449438202247191,GT
1.1,2200,rings,10.0,0.011235955056179775,GT
1.1,2200,coordination,0.0,0.0,GT
1.1,2200,coordination,1.0,0.0,GT
1.1,2200,coordination,2.0,0.055,GT
1.1,2200,coordination,3.0,0.94,GT
1.1,2200,coordination,4.0,0.005,GT
1.1,2300,rings,4.0,0.012345679012345678,GT
1.1,2300,rings,5.0,0.43209876543209874,GT
1.1,2300,rings,6.0,0.2839506172839506,GT
1.1,2300,rings,7.0,0.037037037037037035,GT
1.1,2300,rings,8.0,0.12345679012345678,GT
1.1,2300,rings,9.0,0.04938271604938271,GT
1.1,2300,rings,10.0,0.06172839506172839,GT
1.1,2300,coordination,0.0,0.0,GT
1.1,2300,coordination,1.0,0.0,GT
1.1,2300,coordination,2.0,0.12,GT
1.1,2300,coordination,3.0,0.85,GT
1.1,2300,coordination,4.0,0.03,GT
1.1,2400,rings,4.0,0.010752688172043012,GT
1.1,2400,rings,5.0,0.3333333333333333,GT
1.1,2400,rings,6.0,0.3763440860215054,GT
1.1,2400,rings,7.0,0.16129032258064516,GT
1.1,2400,rings,8.0,0.07526881720430108,GT
1.1,2400,rings,9.0,0.021505376344086023,GT
1.1,2400,rings,10.0,0.021505376344086023,GT
1.1,2400,coordination,0.0,0.0,GT
1.1,2400,coordination,1.0,0.0,GT
1.1,2400,coordination,2.0,0.055,GT
1.1,2400,coordination,3.0,0.94,GT
1.1,2400,coordination,4.0,0.005,GT
1.1,2500,rings,4.0,0.0,GT
1.1,2500,rings,5.0,0.34065934065934067,GT
1.1,2500,rings,6.0,0.3626373626373626,GT
1.1,2500,rings,7.0,0.17582417582417584,GT
1.1,2500,rings,8.0,0.04395604395604396,GT
1.1,2500,rings,9.0,0.01098901098901099,GT
1.1,2500,rings,10.0,0.06593406593406594,GT
1.1,2500,coordination,0.0,0.0,GT
1.1,2500,coordination,1.0,0.0,GT
1.1,2500,coordination,2.0,0.045,GT
1.1,2500,coordination,3.0,0.93,GT
1.1,2500,coordination,4.0,0.025,GT
1.1,2600,rings,4.0,0.0,GT
1.1,2600,rings,5.0,0.24175824175824176,GT
1.1,2600,rings,6.0,0.5384615384615384,GT
1.1,2600,rings,7.0,0.14285714285714285,GT
1.1,2600,rings,8.0,0.04395604395604396,GT
1.1,2600,rings,9.0,0.01098901098901099,GT
1.1,2600,rings,10.0,0.02197802197802198,GT
1.1,2600,coordination,0.0,0.0,GT
1.1,2600,coordination,1.0,0.0,GT
1.1,2600,coordination,2.0,0.05,GT
1.1,2600,coordination,3.0,0.94,GT
1.1,2600,coordination,4.0,0.01,GT
1.1,2700,rings,4.0,0.0,GT
1.1,2700,rings,5.0,0.28735632183908044,GT
1.1,2700,rings,6.0,0.4942528735632184,GT
1.1,2700,rings,7.0,0.14942528735632185,GT
