density,temperature,type,x,y
1.0,2000,rdf,0.04,0.0
1.0,2000,rdf,0.12,0.0
1.0,2000,rdf,0.2,0.0
1.0,2000,rdf,0.27999999999999997,0.0
1.0,2000,rdf,0.36,0.0
1.0,2000,rdf,0.44,0.0
1.0,2000,rdf,0.52,0.0
1.0,2000,rdf,0.6000000000000001,0.0
1.0,2000,rdf,0.68,0.0
1.0,2000,rdf,0.76,0.0
1.0,2000,rdf,0.8400000000000001,0.0
1.0,2000,rdf,0.92,0.0
1.0,2000,rdf,1.0,0.0
1.0,2000,rdf,1.08,0.0
1.0,2000,rdf,1.1600000000000001,0.0
1.0,2000,rdf,1.24,0.2579671942015794
1.0,2000,rdf,1.32,1.2521039273027699
1.0,2000,rdf,1.4000000000000001,10.119387759485255
1.0,2000,rdf,1.48,13.76394388848074
1.0,2000,rdf,1.56,2.8526740340389414
1.0,2000,rdf,1.6400000000000001,0.0
1.0,2000,rdf,1.72,0.0
1.0,2000,rdf,1.8,0.0
1.0,2000,rdf,1.8800000000000001,0.0
1.0,2000,rdf,1.96,0.0
1.0,2000,rdf,2.04,0.0
1.0,2000,rdf,2.12,0.044137244190635694
1.0,2000,rdf,2.2,0.0
1.0,2000,rdf,2.2800000000000002,0.9540128591472021
1.0,2000,rdf,2.36,2.1014298112104504
1.0,2000,rdf,2.44,4.664852845343497
1.0,2000,rdf,2.52,5.341792633575236
1.0,2000,rdf,2.6,3.873659483520464
1.0,2000,rdf,2.68,1.3810094076279955
1.0,2000,rdf,2.7600000000000002,1.0937780138353717
1.0,2000,rdf,2.8400000000000003,1.7709062398032769
1.0,2000,rdf,2.92,2.000939935409443
1.0,2000,rdf,3.0,1.102123412060551
1.0,2000,rdf,3.08,0.6691948622238405
1.0,2000,rdf,3.16,0.5364075378682069
1.0,2000,rdf,3.24,0.7181248919665563
1.0,2000,rdf,3.3200000000000003,0.7739265455614057
1.0,2000,rdf,3.4,1.2527760963657246
1.0,2000,rdf,3.48,1.310511516782377
1.0,2000,rdf,3.56,1.189662546159714
1.0,2000,rdf,3.64,1.9914062271431323
1.0,2000,rdf,3.72,2.580467277900491
1.0,2000,rdf,3.8000000000000003,2.8026921843658648
1.0,2000,rdf,3.88,2.5697107601509885
1.0,2000,rdf,3.96,1.733180896588865
1.0,2000,rdf,4.04,1.4464336227487438
1.0,2000,rdf,4.12,1.4258709523915605
1.0,2000,rdf,4.2,1.8106838716963098
1.0,2000,rdf,4.28,2.1551691543524094
1.0,2000,rdf,4.36,2.212479046577262
1.0,2000,rdf,4.44,1.5397216261204787
1.0,2000,rdf,4.5200000000000005,1.2817820719720545
1.0,2000,rdf,4.6000000000000005,1.1438305442261951
1.0,2000,rdf,4.68,1.0235395545527077
1.0,2000,rdf,4.76,1.5498069589691617
1.0,2000,rdf,4.84,1.6090941596245485
1.0,2000,rdf,4.92,1.745694717331414
1.0,2000,rdf,5.0,1.8648635356918046
1.0,2000,rdf,5.08,2.014157184387315
1.0,2000,rdf,5.16,1.9447369830962016
1.0,2000,rdf,5.24,1.5678957852224567
1.0,2000,rdf,5.32,1.289777638183398
1.0,2000,rdf,5.4,1.1565966417911888
1.0,2000,rdf,5.48,0.9909480732009954
1.0,2000,rdf,5.5600000000000005,1.0075602954259937
1.0,2000,rdf,5.640000000000001,1.0602588355337537
1.0,2000,rdf,5.72,1.152080782867385
1.0,2000,rdf,5.8,1.085134119207255
1.0,2000,rdf,5.88,1.0156413717042925
1.0,2000,rdf,5.96,1.072335434139478
1.0,2000,rdf,6.04,1.2235754657432698
1.0,2000,rdf,6.12,1.2076867095861774
1.0,2000,rdf,6.2,1.2747822774231838
1.0,2000,rdf,6.28,1.1821461445757715
1.0,2000,rdf,6.36,1.4125407927211011
1.0,2000,rdf,6.44,1.4207170686884303
1.0,2000,rdf,6.5200000000000005,1.4514036714762466
1.0,2000,rdf,6.6000000000000005,1.4619762327539931
1.0,2000,rdf,6.680000000000001,1.2093144903489985
1.0,2000,rdf,6.76,1.0419364942029152
1.0,2000,rdf,6.84,0.9159358660384193
1.0,2000,rdf,6.92,0.8824519070503676
1.0,2000,rdf,7.0,0.971714991611326
1.0,2000,rdf,7.08,0.985500115074588
1.0,2000,rdf,7.16,1.0100396273989307
1.0,2000,rdf,7.24,1.101386898836588
1.0,2000,rdf,7.32,1.1329830431165662
1.0,2000,rdf,7.4,1.1267334513034064
1.0,2000,rdf,7.48,1.0708486063949387
1.0,2000,rdf,7.5600000000000005,1.0031795432904507
1.0,2000,rdf,7.640000000000001,0.985679628588285
1.0,2000,rdf,7.72,1.0286045965739974
1.0,2000,rdf,7.8,0.9978307477106103
1.0,2000,rdf,7.88,0.9680882115446369
1.0,2000,rdf,7.96,0.8986292985850665
1.0,2000,adf,0.9,0.0
1.0,2000,adf,2.6999999999999997,0.0
1.0,2000,adf,4.5,0.0
1.0,2000,adf,6.3,0.0
1.0,2000,adf,8.1,0.0
1.0,2000,adf,9.9,0.0
1.0,2000,adf,11.7,0.0
